Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4001953  4000265            0.04819    0.30838    0.01889    1.26155    2.06199    5.82967   -1.76844 
4001954  4000265            0.04183    0.29251    0.03658    1.18039    2.52621    9.95479   -4.31569 
4001962  4000267            0.08688    0.44581    0.00825    1.49817    6.82804    1.98105   -0.24567 
4001963  4000267            0.09196    0.45232    0.01115    1.40735    6.46736    2.53073   -0.59651 
4001964  4000267            0.09803    0.46999    0.01431    1.31707    5.49582    3.13651   -1.06357 
4001968  4000267            0.09800    0.47139    0.01370    1.33057    5.10949    3.01266   -0.96538 
4001980  4000270            0.04671    0.37081    0.01009    1.52398   19.75423    3.85764   -0.22136 
4001981  4000270            0.03362    0.34888    0.01497    1.46573   34.92917    7.16398   -0.49542 
4001982  4000270            0.03172    0.28866    0.02990    1.26778    6.34264   12.23188   -2.02462 
4001983  4000270            0.05633    0.34464    0.00834    1.48196    4.38404    2.41079   -0.34324 
4001984  4000270            0.03773    0.29861    0.01711    1.32993    4.85692    6.61542   -1.13597 
4001985  4000270            0.03398    0.30052    0.01711    1.36159    8.21115    7.24156   -0.96672 
4001986  4000270            0.03389    0.30664    0.01572    1.39014   10.48647    6.74001   -0.80633 
4001987  4000270            0.05162    0.34765    0.00750    1.53961    8.00292    2.35452   -0.17299 
4001988  4000271            0.04376    0.38058    0.02432    1.43504   34.13082   12.27083   -0.89705 
4001989  4000271            0.03957    0.36831    0.03485    1.44899   40.82148   19.89193   -1.11070 
4001990  4000271            0.03940    0.35290    0.03004    1.38803   23.70123   14.58978   -1.20130 
4001991  4000271            0.03504    0.32223    0.05018    1.40370   25.99825   26.96295   -1.51012 
4001992  4000271            0.05618    0.36133    0.01536    1.38311    6.53608    5.08540   -0.85693 
4001993  4000271            0.02537    0.27185    0.06278    1.23358    9.79038   27.13701   -3.27035 
4001994  4000272            0.04179    0.35329    0.02300    1.39289   18.30917   10.26408   -1.01899 
4001995  4000272            0.03355    0.30846    0.05493    1.38692   22.40067   29.37510   -1.62897 
4001996  4000272            0.02688    0.29413    0.06046    1.30747   18.81832   30.95831   -2.13348 
4001997  4000272            0.04835    0.31940    0.01480    1.33290    3.22440    4.84180   -1.05208 
4001998  4000272            0.02445    0.26535    0.06994    1.22955    9.50747   30.55306   -3.47736 
4002007  4000274            0.03395    0.37962    0.04125    1.52066   86.80748   30.36043   -1.00684 
4002008  4000274            0.04090    0.39465    0.04239    2.02508  218.90011   40.16493   -0.83047 
4002009  4000274            0.03514    0.38456    0.04561    1.68860  131.89333   40.79704   -0.91577 
4002010  4000274            0.04108    0.39538    0.04205    1.94273  193.16071   39.14440   -0.83604 
4002011  4000274            0.04525    0.39784    0.03873    2.61696  429.40820   32.95688   -0.83718 
4002012  4000274            0.04668    0.40351    0.03563    1.66365  104.27301   26.44871   -0.86430 
4002013  4000274            0.03374    0.38104    0.04558    1.62224  116.55662   38.70166   -0.95290 
4002014  4000274            0.03577    0.38370    0.03986    1.52384   83.77513   29.00049   -0.99057 
4002016  4000274            0.04595    0.39897    0.03823    2.58349  415.06171   32.00405   -0.83550 
4002017  4000274            0.05007    0.40571    0.03519    2.19027  258.54615   27.25775   -0.80840 
4002018  4000274            0.05362    0.41015    0.03010    1.55937   71.01838   18.10571   -0.88358 
4002027  4000276            0.04741    0.39993    0.03702    2.75298  487.29346   29.80841   -0.84719 
4002028  4000276           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002029  4000276            0.05163    0.39921    0.03318    3.95565 1141.82531   31.66938   -0.86897 
4002030  4000276            0.05232    0.40007    0.03280    3.92269 1120.19531   30.40220   -0.87234 
4002041  4000276           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002048  4000277            0.05092    0.39287    0.00958    1.53915   25.14121    3.64316   -0.12592 
4002050  4000278            0.08302    0.43956    0.00849    1.51205    9.71107    2.15791   -0.23886 
4002051  4000278            0.06784    0.35865    0.00957    1.41112    2.31945    2.37999   -0.57538 
4002052  4000278            0.06428    0.35698    0.00838    1.46345    3.13221    2.18739   -0.39455 
4002053  4000278            0.05629    0.33375    0.01010    1.40446    2.77451    2.88372   -0.60881 
4002054  4000278            0.05283    0.31801    0.01115    1.36109    2.07303    3.27757   -0.80017 
4002067  4000281            0.07469    0.48686    0.00490    1.67454   80.44224    1.72078    0.45027 
4002068  4000281            0.06606    0.45397    0.00507    1.67030   62.07233    1.81131    0.41142 
4002069  4000281            0.04142    0.32990    0.01362    1.42250    9.26204    5.26736   -0.64661 
4002070  4000281            0.03452    0.28193    0.02556    1.25430    3.47929    9.68507   -2.08663 
4002071  4000281            0.04173    0.29477    0.02159    1.25308    2.44768    7.22778   -1.97478 
4002072  4000281            0.03422    0.28777    0.02179    1.29268    4.64508    8.74987   -1.54354 
4002073  4000281            0.04063    0.29903    0.01728    1.30818    3.49007    6.24485   -1.28430 
4002074  4000281            0.05156    0.32153    0.01243    1.35466    2.70835    3.81557   -0.86997 
4002075  4000281            0.05014    0.31851    0.01093    1.38482    2.86795    3.38109   -0.69833 
4002076  4000281            0.04167    0.29116    0.01799    1.27782    2.34486    6.17942   -1.56748 
4002077  4000282            0.05603    0.43133    0.00730    1.58690   49.70931    2.81322    0.20271 
4002078  4000282            0.05232    0.40290    0.00716    1.59601   34.54057    2.66201    0.12758 
4002079  4000282            0.04234    0.35266    0.01053    1.50836   17.92264    4.12272   -0.28843 
4002080  4000282            0.03086    0.30449    0.05462    1.31054   16.81446   26.29104   -2.06207 
4002081  4000282            0.04488    0.34651    0.03030    1.32594   13.67579   12.31628   -1.54056 
4002082  4000282            0.04496    0.34643    0.02995    1.32525   13.40447   12.12292   -1.53609 
4002083  4000282            0.04468    0.35442    0.02851    1.35869   16.95028   12.32024   -1.31459 
4002084  4000283            0.04297    0.41619    0.01906    1.45834   76.07694   10.63900   -0.52029 
4002085  4000283            0.04223    0.39211    0.01911    1.45782   47.36661    9.78601   -0.61916 
4002086  4000283            0.03828    0.37349    0.03064    1.44145   44.52345   17.44469   -1.01068 
4002087  4000283            0.03315    0.30009    0.05396    1.28216   12.41257   23.48285   -2.37055 
4002088  4000283            0.03779    0.32093    0.04053    1.28811   12.16810   16.59830   -2.06605 
4002089  4000283            0.03515    0.30927    0.04809    1.28178   12.27893   20.19157   -2.28124 
4002090  4000283            0.05904    0.32473    0.01267    1.31324    1.42772    3.40214   -1.10469 
4002091  4000284            0.09362    0.56849    0.00800    1.52590  102.72338    2.79746    0.06837 
4002092  4000284            0.07162    0.46892    0.00481    1.68395   64.61539    1.67301    0.43052 
4002093  4000284            0.06327    0.42775    0.00473    1.69659   40.86374    1.63375    0.36466 
4002107  4000287            0.04266    0.36754    0.01121    1.50984   25.17984    4.61793   -0.27225 
4002108  4000287            0.04273    0.35189    0.01425    1.45271   15.64299    5.82081   -0.57065 
4002109  4000287            0.02970    0.28036    0.03966    1.23571    6.17072   15.75550   -2.77305 
4002110  4000287            0.03156    0.29276    0.03187    1.27021    7.46381   13.17871   -2.04351 
4002111  4000287            0.02958    0.29919    0.02963    1.31040   11.95076   13.51532   -1.58761 
4002112  4000287           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002113  4000287            0.03320    0.29569    0.02661    1.28636    6.78597   10.91504   -1.73337 
4002136  4000291            0.04719    0.39953    0.03716    2.77622  497.80666   30.09845   -0.84838 
4002137  4000291            0.04243    0.39588    0.04121    2.23820  286.97708   38.10301   -0.82310 
4002139  4000291            0.04388    0.39488    0.03961    2.77411  496.60807   34.87331   -0.84412 
4002140  4000291            0.04453    0.39538    0.03902    2.86012  535.30292   33.90854   -0.84912 
4002141  4000291            0.04649    0.39701    0.03735    3.07964  641.10875   31.50071   -0.86172 
4002142  4000291            0.04628    0.39731    0.03762    2.96866  587.00100   31.51279   -0.85708 
4002143  4000291            0.04690    0.39711    0.03697    3.16726  685.53983   31.26005   -0.86512 
4002144  4000291            0.04841    0.39840    0.03581    3.30139  756.96997   29.92223   -0.87105 
4002145  4000291            0.04820    0.39799    0.03591    3.33179  773.11710   30.36786   -0.87087 
4002147  4000291            0.04825    0.39889    0.03606    3.15823  681.89467   29.43818   -0.86783 
4002148  4000291            0.04971    0.40448    0.03550    2.36585  323.60333   27.39990   -0.81990 
4002149  4000291            0.05043    0.40108    0.03454    3.22557  716.93797   27.03293   -0.87414 
4002150  4000291            0.05020    0.40270    0.03498    2.82965  520.43025   26.28594   -0.85548 
4002151  4000291            0.05176    0.40031    0.03330    3.72094  996.13995   28.97790   -0.87689 
4002152  4000291            0.05251    0.40627    0.03353    2.53789  388.67171   23.81951   -0.83387 
4002153  4000292            0.04605    0.37493    0.01364    1.47905   22.54148    5.66014   -0.45469 
4002154  4000292            0.04567    0.39576    0.02840    1.46157   49.10643   16.04818   -0.92692 
4002155  4000292            0.04673    0.40217    0.03321    1.54616   73.40297   21.85794   -0.91214 
4002156  4000292            0.04158    0.39365    0.03484    1.51239   70.33310   23.27989   -0.95347 
4002157  4000292            0.04018    0.38433    0.02822    1.44863   49.29705   16.13642   -0.92531 
4002158  4000292            0.04014    0.38331    0.02736    1.44591   47.60449   15.40450   -0.91173 
4002159  4000293            0.05497    0.38259    0.00550    1.65553   20.99346    1.82601    0.16272 
4002160  4000293            0.05199    0.38947    0.00559    1.66106   30.66962    1.99105    0.22761 
4002161  4000293            0.05028    0.37077    0.00791    1.56625   17.22604    2.75767   -0.07565 
4002162  4000293            0.03972    0.37172    0.01916    1.44821   34.74185    9.39630   -0.68713 
4002163  4000293            0.04036    0.37826    0.02279    1.44153   39.63223   11.83917   -0.80891 
4002180  4000296            0.10356    0.68074    0.00739    1.57951  453.62417    3.41932   -0.29164 
4002181  4000296            0.08090    0.58912    0.00418    1.72915  371.30431    1.85420    0.54648 
4002182  4000296            0.09448    0.66160    0.00508    1.69785  528.85553    2.43926    0.03322 
4002187  4000297            0.09455    0.60999    0.00691    1.57254  224.06229    2.71986    0.13366 
4002188  4000297            0.08288    0.57077    0.00449    1.70425  240.10907    1.85502    0.53601 
4002189  4000297            0.06929    0.46570    0.00425    1.72563   70.84836    1.54792    0.51750 
4002191  4000298            0.03857    0.36483    0.01644    1.45985   31.93851    7.75794   -0.56947 
4002192  4000298            0.03614    0.35207    0.01211    1.49551   31.04042    5.38846   -0.32722 
4002193  4000298            0.03324    0.37564    0.03822    1.47770   74.76831   26.00721   -1.02833 
4002194  4000298            0.03153    0.37123    0.03933    1.47327   77.70105   26.92308   -1.04759 
4002200  4000299            0.05376    0.39538    0.00712    1.59624   25.90753    2.52424    0.07529 
4002201  4000299            0.04998    0.38018    0.00830    1.56259   21.23167    3.01522   -0.06207 
4002202  4000299            0.03904    0.34942    0.02941    1.38036   21.78304   14.00927   -1.21643 
4002208  4000301            0.04733    0.40099    0.03721    2.53508  393.87954   30.14326   -0.83267 
4002209  4000301            0.04873    0.39811    0.03545    3.44556  835.94418   30.43041   -0.87253 
4002210  4000301            0.05020    0.39969    0.03448    3.47688  854.19502   28.81440   -0.87611 
4002211  4000301            0.05172    0.39985    0.03324    3.82261 1058.20307   30.04926   -0.87403 
4002212  4000301            0.05216    0.39956    0.03283    4.00886 1175.51641   31.63717   -0.86832 
4002226  4000303            0.04896    0.39521    0.02295    1.44157   35.43062   11.24775   -0.84619 
4002227  4000303            0.04197    0.38902    0.02898    1.45594   50.57467   16.75310   -0.93424 
4002228  4000303            0.05895    0.40913    0.02168    1.42365   29.41965    9.32190   -0.89194 
4002229  4000303            0.05747    0.41231    0.02645    1.47064   47.64347   13.33904   -0.93054 
4002230  4000303           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002231  4000303            0.05339    0.40765    0.03295    2.40018  331.63143   23.12560   -0.82108 
4002232  4000303            0.05452    0.41137    0.03127    1.72216  110.56711   20.76824   -0.82037 
4002234  4000304            0.04733    0.40198    0.03727    2.34751  319.96042   30.53736   -0.82069 
4002235  4000304            0.04847    0.40344    0.03641    2.31494  306.11427   29.07846   -0.81760 
4002236  4000304            0.06510    0.41963    0.02564    1.50429   57.13093   12.07000   -0.92289 
4002237  4000304            0.06273    0.41746    0.02699    1.62152   82.04768   14.44233   -0.84309 
4002238  4000304            0.05487    0.40699    0.03192    2.79428  498.04238   21.26237   -0.85876 
4002239  4000304            0.05141    0.40808    0.03143    1.57488   76.39862   19.91957   -0.88146 
4002240  4000304            0.05312    0.40319    0.03274    3.34394  778.05813   24.62156   -0.88201 
4002241  4000305            0.04573    0.40238    0.03775    1.84169  154.80898   31.28049   -0.82939 
4002242  4000305            0.04146    0.39653    0.04097    1.78818  147.06601   35.89519   -0.85660 
4002243  4000305            0.05045    0.40695    0.03175    1.56643   75.07793   20.24853   -0.88842 
4002244  4000305            0.05016    0.40713    0.03275    1.61417   87.37616   22.00570   -0.86827 
4002245  4000305            0.05134    0.40852    0.03258    1.65554   96.66666   22.15455   -0.84884 
4002246  4000305            0.04556    0.39905    0.03860    2.47609  371.84096   32.77247   -0.82915 
4002249  4000306            0.04192    0.39727    0.04017    1.74091  132.89769   34.03448   -0.86509 
4002250  4000306            0.04088    0.39388    0.03713    1.54955   82.01197   26.57262   -0.94241 
4002252  4000306            0.05509    0.40820    0.02556    1.45206   41.83420   12.71048   -0.92452 
4002253  4000306            0.05401    0.40935    0.02833    1.49686   55.22810   15.62604   -0.91576 
4002254  4000306            0.05008    0.40438    0.03522    2.46236  361.01918   26.74285   -0.82713 
4002255  4000306            0.05057    0.40618    0.03483    2.19342  258.88735   26.65451   -0.80775 
4002257  4000307            0.03821    0.38245    0.03078    1.45414   55.37778   18.50658   -0.96037 
4002258  4000307            0.05279    0.39260    0.01690    1.44917   23.06141    7.00990   -0.65822 
4002259  4000307            0.06127    0.41070    0.02041    1.41591   25.60867    8.26593   -0.87996 
4002260  4000307            0.06036    0.40936    0.02035    1.41906   25.80326    8.33070   -0.86694 
4002261  4000307            0.05797    0.41420    0.02883    1.60748   80.18275   16.76585   -0.85296 
4002262  4000307            0.05563    0.41221    0.03072    1.73693  113.37021   20.07276   -0.81429 
4002263  4000307            0.05053    0.40753    0.03433    1.86529  154.21004   25.94522   -0.80946 
4002264  4000308            0.05035    0.40419    0.03501    2.55478  398.61566   26.25335   -0.83467 
4002265  4000308            0.05243    0.40487    0.03348    2.82179  514.34562   23.75445   -0.85780 
4002266  4000308            0.05649    0.40999    0.03098    2.38366  320.73729   20.13716   -0.81920 
4002267  4000308            0.05514    0.40730    0.03176    2.77093  486.86445   20.98875   -0.85715 
4002268  4000308            0.05219    0.40501    0.03368    2.74408  478.93233   23.99785   -0.85155 
4002269  4000308            0.05103    0.40791    0.03407    1.89247  161.38513   25.60295   -0.80568 
4002271  4000308            0.05362    0.40389    0.03247    3.28377  744.69186   23.77746   -0.88196 
4002272  4000309           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002273  4000309            0.05918    0.41511    0.02832    1.60689   79.57300   16.09128   -0.85198 
4002274  4000309            0.05832    0.41435    0.02805    1.54624   65.92237   15.40047   -0.88541 
4002275  4000309            0.06046    0.41590    0.02666    1.49899   54.87618   13.44197   -0.91830 
4002276  4000309            0.05698    0.41339    0.02912    1.59330   77.31107   17.06025   -0.86093 
4002279  4000310            0.03762    0.38503    0.03527    1.48331   67.51214   23.23393   -0.98725 
4002280  4000310            0.03953    0.39265    0.03991    1.60205   98.88202   31.08317   -0.92660 
4002282  4000310            0.07142    0.42526    0.02398    1.39818   40.36939    9.23142   -1.09854 
4002283  4000310            0.07711    0.43133    0.02416    1.32502   34.39668    8.03600   -1.39581 
4002284  4000311            0.03908    0.39085    0.03853    1.55017   85.17845   28.20338   -0.95396 
4002285  4000311            0.04063    0.38615    0.02898    1.45265   50.78850   16.79473   -0.93535 
4002286  4000311            0.05291    0.40490    0.02553    1.45056   41.25432   12.89000   -0.91461 
4002287  4000311            0.07355    0.42754    0.02378    1.36526   36.36896    8.59359   -1.19824 
4002288  4000311            0.07631    0.43026    0.02408    1.33841   36.15543    8.20247   -1.32748 
4002289  4000312            0.05276    0.40805    0.02934    1.54885   65.44290   17.34780   -0.87605 
4002290  4000312            0.05267    0.40832    0.02933    1.51240   59.85775   16.88344   -0.90970 
4002291  4000312            0.06316    0.41703    0.02392    1.42545   36.75110   10.38192   -0.97801 
4002292  4000312            0.05993    0.41546    0.02686    1.50271   55.71031   13.71291   -0.91486 
4002293  4000312            0.05610    0.41178    0.03098    1.94117  169.38248   20.88086   -0.79108 
4002294  4000312            0.05683    0.41131    0.03072    2.14808  234.44003   20.25421   -0.79677 
4002295  4000313            0.04035    0.36428    0.01392    1.47788   27.23843    6.15591   -0.44754 
4002296  4000313            0.05054    0.38067    0.01252    1.48696   18.41886    4.82257   -0.41066 
4002297  4000313            0.05718    0.39761    0.01577    1.44767   19.08654    6.05987   -0.63583 
4002298  4000313            0.05408    0.40628    0.02517    1.44798   40.19438   12.46873   -0.91631 
4002299  4000313            0.05298    0.40186    0.02293    1.43794   34.08013   10.83955   -0.87051 
4002300  4000313            0.05283    0.40874    0.03318    2.06972  213.61586   24.19196   -0.79842 
4002303  4000314            0.05144    0.40063    0.03362    3.56597  904.81056   28.00516   -0.87860 
4002304  4000314            0.05151    0.40180    0.03377    3.31454  763.85811   26.22355   -0.87817 
4002305  4000314            0.05124    0.40277    0.03415    3.03757  619.87483   25.41187   -0.86904 
4002306  4000314            0.05201    0.40506    0.03382    2.69996  459.33542   24.20921   -0.84778 
4002307  4000314            0.05433    0.40201    0.03164    3.90898 1107.38662   27.85340   -0.87860 
4002308  4000315            0.05349    0.40411    0.03259    3.20477  702.92957   23.55039   -0.87965 
4002309  4000315            0.05299    0.40446    0.03302    3.02308  610.67975   23.47082   -0.87129 
4002310  4000315            0.05395    0.40515    0.03239    3.05184  623.64172   22.55566   -0.87437 
4002311  4000315            0.05607    0.40756    0.03115    2.86647  529.66097   20.19078   -0.86606 
4002312  4000315            0.05666    0.40598    0.03060    3.35273  775.18171   21.17374   -0.88944 
4002313  4000315           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002314  4000316            0.05149    0.40287    0.03396    3.06868  635.26464   25.22102   -0.87088 
4002315  4000316            0.05050    0.40321    0.03480    2.78712  500.49473   25.91116   -0.85292 
4002316  4000316            0.05349    0.40385    0.03255    3.26700  735.91157   23.82871   -0.88133 
4002317  4000316            0.05466    0.40498    0.03186    3.22880  713.56493   22.47820   -0.88260 
4002318  4000316            0.05286    0.40337    0.03296    3.24636  725.82098   24.39747   -0.87957 
4002319  4000316            0.05147    0.40620    0.03425    2.35931  318.55225   25.31489   -0.81824 
4002320  4000316            0.05382    0.40300    0.03218    3.54185  887.79885   25.14223   -0.88455 
4002327  4000318            0.04563    0.39871    0.03143    1.49446   60.13995   19.29596   -0.93643 
4002328  4000318            0.04632    0.40179    0.03366    1.55276   75.60542   22.47967   -0.91097 
4002329  4000318            0.05066    0.40792    0.03372    1.74855  121.64192   24.48092   -0.82604 
4002330  4000318            0.05518    0.40776    0.03176    2.67403  443.26181   20.96693   -0.84850 
4002331  4000319            0.05151    0.40499    0.02762    1.47028   48.60342   14.95582   -0.92365 
4002332  4000319            0.05032    0.40533    0.02993    1.50457   59.16752   17.59306   -0.91786 
4002333  4000319            0.06227    0.41723    0.02564    1.46762   47.88629   12.09904   -0.94729 
4002334  4000319            0.05823    0.41440    0.02855    1.58753   75.44880   16.27443   -0.86239 
4002335  4000319            0.05681    0.41280    0.03034    1.81698  133.42995   19.79495   -0.79811 
4002343  4000320            0.05103    0.40828    0.03334    1.72465  114.85475   23.75997   -0.83009 
4002344  4000320            0.05439    0.41118    0.03038    1.60160   80.75443   18.76674   -0.86157 
4002345  4000320            0.06729    0.42158    0.02426    1.42369   40.77377   10.11764   -1.02028 
4002346  4000320            0.07415    0.42832    0.02288    1.34327   28.75299    7.88294   -1.24778 
4002347  4000320            0.06826    0.42247    0.02410    1.41517   39.80264    9.82216   -1.03979 
4002349  4000321            0.03517    0.38204    0.03975    1.51420   82.13014   28.60357   -0.99982 
4002350  4000321            0.03998    0.38469    0.02896    1.45101   50.92747   16.80348   -0.93583 
4002351  4000321            0.04592    0.39045    0.02352    1.44310   37.76661   11.93579   -0.84579 
4002352  4000321            0.05737    0.40499    0.02029    1.42787   26.78170    8.60454   -0.83260 
4002354  4000321            0.07348    0.42734    0.02350    1.35990   33.94624    8.40228   -1.20618 
4002361  4000322            0.03790    0.37913    0.02826    1.44404   50.37885   16.25696   -0.92761 
4002362  4000322            0.03656    0.38258    0.03548    1.47793   67.63787   23.34187   -0.99589 
4002363  4000322            0.03886    0.38394    0.03076    1.45619   55.21716   18.49323   -0.95841 
4002364  4000322            0.05424    0.39623    0.01768    1.44274   23.52512    7.34030   -0.70362 
4002365  4000322            0.05129    0.40638    0.02943    1.50146   57.72530   16.97978   -0.91704 
4002367  4000322            0.05039    0.40693    0.03474    1.98995  191.75250   26.76550   -0.80346 
4002368  4000322            0.05094    0.40731    0.03124    1.55469   71.71986   19.50946   -0.89258 
4002369  4000323            0.04870    0.37077    0.00596    1.63702   25.24001    2.09703    0.13697 
4002370  4000323            0.05487    0.38900    0.00539    1.66462   24.98341    1.83515    0.20781 
4002371  4000323            0.07027    0.41009    0.00572    1.62926   12.24017    1.63585    0.07546 
4002372  4000323            0.05175    0.37411    0.00843    1.55216   15.65570    2.92080   -0.12661 
4002373  4000323            0.05052    0.39490    0.02079    1.44014   30.64820    9.59321   -0.79377 
4002381  4000324            0.03400    0.37999    0.04165    1.52795   88.89330   31.03006   -1.00267 
4002383  4000324            0.03531    0.38181    0.03883    1.50317   78.41791   27.32951   -1.00304 
4002384  4000324            0.03662    0.38056    0.03293    1.45962   60.69879   20.58346   -0.98510 
4002385  4000324            0.04183    0.39300    0.03341    1.49361   64.29678   21.45778   -0.95647 
4002386  4000324            0.04724    0.40388    0.03691    1.93205  178.96456   30.29279   -0.81526 
4002387  4000324            0.05532    0.40541    0.03144    3.24893  722.85634   21.92652   -0.88443 
4002389  4000325            0.03375    0.37912    0.04132    1.51913   86.79669   30.38755   -1.00923 
4002390  4000325            0.03656    0.37694    0.02931    1.44379   53.04914   17.18833   -0.94597 
4002391  4000325            0.04339    0.38770    0.02525    1.44481   42.14370   13.47047   -0.87639 
4002392  4000325            0.04592    0.40266    0.03642    1.68467  110.93881   27.81863   -0.86117 
4002393  4000325            0.04838    0.40358    0.03646    2.26998  289.64857   29.27122   -0.81512 
4002402  4000326            0.03636    0.38673    0.04274    1.60557  106.03891   34.69115   -0.94499 
4002403  4000326            0.04025    0.39457    0.04190    1.77049  144.36655   37.09861   -0.86607 
4002404  4000326            0.04521    0.40114    0.03555    1.59871   89.12119   25.48353   -0.89584 
4002406  4000326            0.05337    0.40459    0.03275    3.06920  633.27429   23.19814   -0.87421 
4002411  4000327            0.03512    0.38335    0.04224    1.55942   95.59285   32.69539   -0.97716 
4002412  4000327            0.03552    0.38230    0.03877    1.50453   78.41631   27.30089   -1.00083 
4002413  4000327            0.03737    0.38313    0.03374    1.46858   62.79495   21.47338   -0.98550 
4002414  4000327            0.05333    0.40215    0.02274    1.43708   33.52768   10.66232   -0.86839 
4002415  4000327            0.05273    0.40941    0.03076    1.57313   74.97364   19.04410   -0.87873 
4002416  4000327            0.05389    0.40501    0.03242    3.07307  634.44220   22.68287   -0.87528 
4002417  4000327            0.04100    0.39527    0.04211    1.93631  191.38343   39.20766   -0.83696 
4002418  4000328            0.03877    0.39164    0.04217    1.72969  132.66293   36.89375   -0.87753 
4002419  4000328           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002420  4000328           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002421  4000328            0.05875    0.41174    0.02414    1.43633   37.05675   11.11584   -0.93654 
4002422  4000328            0.05919    0.41486    0.02878    1.70145  101.95337   17.21321   -0.81659 
4002423  4000328            0.05822    0.40755    0.02975    3.22050  700.38948   19.22346   -0.88892 
4002427  4000329            0.03665    0.37374    0.02613    1.43806   47.53942   14.57122   -0.88793 
4002428  4000329            0.03813    0.38805    0.03763    1.51823   77.56270   26.44563   -0.97499 
4002429  4000329            0.03557    0.36977    0.02508    1.43582   46.84832   13.82342   -0.86426 
4002430  4000329            0.04517    0.40145    0.03629    1.63602   99.06344   26.99675   -0.88115 
4002431  4000329            0.04551    0.40111    0.03858    2.08769  231.05057   33.30519   -0.81584 
4002432  4000329            0.05476    0.40613    0.03192    2.97267  583.05590   21.58056   -0.87133 
4002433  4000330            0.03529    0.38420    0.04312    1.58647  102.95203   34.56371   -0.96159 
4002434  4000330            0.04909    0.40422    0.03594    2.29265  296.91902   28.31999   -0.81554 
4002435  4000330            0.03942    0.39160    0.03850    1.55593   86.22197   28.30479   -0.94895 
4002436  4000330            0.05057    0.39993    0.02450    1.44456   38.42272   12.27135   -0.88838 
4002437  4000330            0.05050    0.40745    0.03250    1.61029   86.06954   21.64177   -0.86869 
4002438  4000330            0.05261    0.40457    0.03331    2.92265  561.94419   23.66736   -0.86494 
4002441  4000331            0.03943    0.39128    0.03797    1.54364   82.71529   27.41349   -0.95466 
4002442  4000331            0.04152    0.39115    0.03209    1.47682   59.24863   19.90267   -0.95747 
4002443  4000331            0.04137    0.39101    0.03228    1.47778   59.77645   20.10010   -0.95868 
4002444  4000331            0.04841    0.40409    0.03209    1.53932   69.92311   20.41574   -0.90841 
4002445  4000331            0.04455    0.40087    0.03871    1.84452  157.64036   32.83721   -0.83376 
4002449  4000332            0.03650    0.38186    0.03482    1.47196   65.66662   22.58461   -0.99507 
4002450  4000332            0.03724    0.38153    0.03229    1.45856   59.07513   19.96447   -0.97747 
4002451  4000332            0.04050    0.38296    0.02635    1.44406   45.52968   14.54926   -0.89364 
4002452  4000332            0.05361    0.39716    0.01891    1.43927   25.86741    8.11682   -0.74916 
4002453  4000332            0.04440    0.39902    0.03454    1.54434   75.60600   23.42354   -0.92424 
4002454  4000332            0.05530    0.40435    0.03132    3.50961  865.98327   23.38780   -0.88802 
4002457  4000333            0.04551    0.39936    0.03867    2.40919  345.79034   32.99301   -0.82553 
4002458  4000333            0.04669    0.40173    0.03775    2.25282  285.97982   31.59100   -0.81675 
4002459  4000333            0.05056    0.40783    0.03356    1.71459  112.75989   24.01171   -0.83415 
4002460  4000333            0.06007    0.41552    0.02670    1.49623   54.20280   13.49245   -0.91971 
4002461  4000333            0.05223    0.40871    0.03099    1.59670   79.57773   19.63801   -0.86342 
4002466  4000335            0.03603    0.37029    0.02452    1.43654   45.60926   13.38321   -0.85024 
4002467  4000335            0.03698    0.36919    0.02182    1.44008   40.85481   11.38142   -0.77379 
4002468  4000335            0.04076    0.37080    0.01716    1.45655   31.07908    8.05025   -0.60848 
4002469  4000335           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4002470  4000335            0.07765    0.43187    0.02428    1.31977   34.41808    7.98948   -1.43058 
4002480  4000336            0.04325    0.37202    0.01493    1.46970   26.14929    6.55326   -0.51200 
4002481  4000336            0.05795    0.39600    0.01421    1.45881   16.59399    5.22278   -0.55681 
4002482  4000336            0.07541    0.42950    0.02390    1.34398   35.20090    8.26164   -1.29140 
4002498  4000339            0.03880    0.38482    0.03180    1.46199   57.76101   19.51673   -0.96737 
4002499  4000339            0.04038    0.38967    0.03318    1.48090   62.22294   21.06274   -0.96593 
4002500  4000339            0.04446    0.39536    0.03024    1.47316   54.51342   17.93163   -0.94019 
4002501  4000339            0.06436    0.41782    0.02323    1.41321   33.60872    9.69508   -0.99063 
