Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4001361  4000183            0.09849    0.46513    0.01729    1.25336    7.25958    3.67407   -1.70390 
4001370  4000185            0.04125    0.33370    0.01405    1.42627   10.51566    5.53810   -0.64761 
4001371  4000185            0.05265    0.33481    0.01443    1.34915    3.55771    4.57201   -0.96111 
4001372  4000185            0.06255    0.36767    0.01139    1.42612    4.59176    3.29803   -0.59199 
4001373  4000185            0.08548    0.44230    0.01047    1.45324    8.86537    2.60338   -0.45409 
4001374  4000185            0.09236    0.45415    0.01179    1.39398    7.05793    2.69135   -0.66228 
4001375  4000185            0.06486    0.35389    0.01429    1.31655    2.34175    3.81605   -1.12792 
4001376  4000185            0.06729    0.36608    0.01541    1.31122    2.90339    4.12812   -1.19508 
4001377  4000185            0.05839    0.33809    0.01897    1.25711    2.35085    5.29218   -1.80336 
4001379  4000186            0.03807    0.34657    0.02589    1.38644   20.86014   12.18489   -1.10384 
4001380  4000186            0.03794    0.33419    0.02997    1.33971   15.11146   13.23005   -1.42421 
4001381  4000186            0.08001    0.40975    0.01719    1.30410    6.07946    4.35701   -1.30024 
4001382  4000186            0.06779    0.37898    0.02002    1.27678    5.61889    5.62488   -1.61128 
4001383  4000186            0.05492    0.35065    0.02585    1.25911    6.75762    8.13070   -2.01487 
4001384  4000186            0.06715    0.36495    0.01112    1.39424    2.99067    2.91049   -0.68170 
4001385  4000186            0.04499    0.31859    0.03699    1.22830    6.64428   11.77299   -2.89497 
4001386  4000186            0.07040    0.36327    0.01147    1.36132    2.17203    2.81314   -0.81495 
4001388  4000187            0.03839    0.33812    0.04034    1.36514   21.80621   19.45290   -1.52074 
4001389  4000187            0.04213    0.34983    0.02822    1.36267   17.28607   12.49999   -1.27902 
4001390  4000187            0.04965    0.35800    0.01900    1.38015   10.77689    7.23514   -0.97503 
4001391  4000187            0.09525    0.45784    0.01814    1.28377   11.44252    4.20928   -1.48310 
4001392  4000187            0.09343    0.45232    0.01712    1.30049   10.57527    4.00010   -1.31801 
4001396  4000187            0.04895    0.35810    0.00910    1.52546   12.53151    3.16439   -0.22980 
4001397  4000187            0.04784    0.36458    0.01522    1.44263   14.67211    6.00273   -0.64232 
4001398  4000187            0.04305    0.34655    0.03840    1.40328   25.85187   18.58709   -1.38235 
4001399  4000188            0.03869    0.36147    0.03813    1.45646   40.49400   22.11857   -1.16252 
4001400  4000188            0.03491    0.32902    0.03164    1.34272   17.09785   14.59476   -1.43262 
4001401  4000188            0.08037    0.46553    0.01287    1.45280   21.42023    4.06351   -0.46744 
4001402  4000188            0.06318    0.37431    0.01277    1.41024    5.24365    3.80278   -0.68350 
4001403  4000188            0.06091    0.34978    0.01897    1.26642    2.96553    5.31255   -1.68968 
4001404  4000188            0.05531    0.39545    0.02768    1.45367   38.11651   13.30801   -1.02988 
4001405  4000188            0.04882    0.41809    0.03309    1.58574   98.63990   23.65685   -0.84175 
4001406  4000189            0.03271    0.34524    0.04192    1.42611   39.08463   24.51835   -1.26370 
4001407  4000189            0.03967    0.37618    0.02794    1.43839   41.71888   15.33989   -0.95954 
4001408  4000189            0.05449    0.40213    0.01833    1.44482   27.48108    7.86287   -0.70655 
4001409  4000189            0.10682    0.53544    0.02300    1.26946   28.20958    7.07838   -1.82108 
4001410  4000189            0.10017    0.50243    0.02339    1.28738   29.46114    7.00051   -1.66860 
4001411  4000189            0.06872    0.43314    0.02118    1.40551   33.62463    8.43902   -0.92453 
4001412  4000189            0.05675    0.43276    0.03132    1.81339  167.53132   22.91982   -0.75185 
4001446  4000194            0.05248    0.40608    0.02722    1.46783   47.47956   14.48664   -0.92360 
4001447  4000194            0.06020    0.41544    0.02632    1.48110   50.60097   13.01553   -0.93082 
4001448  4000194            0.05396    0.40832    0.02728    1.47379   48.89131   14.45416   -0.92416 
4001449  4000194            0.05190    0.40644    0.02849    1.48599   53.13030   15.86699   -0.92156 
4001450  4000194            0.04936    0.40662    0.03460    1.75127  124.04022   25.79252   -0.83012 
4001498  4000202            0.08607    0.56494    0.00669    1.57943  191.18527    2.54125    0.29565 
4001499  4000202            0.07997    0.56413    0.00427    1.71728  267.89553    1.79324    0.59660 
4001500  4000202            0.07873    0.58108    0.00405    1.73645  368.95379    1.80663    0.60010 
4001501  4000202            0.04470    0.60446    0.06336    1.51875  314.41403  196.82883   -1.17260 
4001502  4000202            0.08380    0.58972    0.00521    1.64898  332.01907    2.18042    0.44640 
4001521  4000205            0.05116    0.49393    0.01067    1.48716  196.07787    5.62659    0.24002 
4001522  4000205            0.03284    0.31432    0.05036    1.32898   18.49288   24.37922   -1.86638 
4001523  4000205            0.03088    0.27325    0.06501    1.30839   11.33932   31.95323   -2.22728 
4001524  4000205            0.03546    0.29106    0.05165    1.23051    7.13609   18.70524   -3.20622 
4001525  4000205            0.03480    0.28454    0.05061    1.20152    5.05519   16.63588   -3.96934 
4001526  4000205            0.03369    0.28189    0.04503    1.19843    4.26433   14.85603   -3.90668 
4001527  4000205            0.03277    0.28257    0.03963    1.21531    4.55439   14.09108   -3.24484 
4001528  4000206            0.03803    0.34762    0.01774    1.43105   20.92522    8.04071   -0.72574 
4001529  4000206            0.03620    0.33866    0.02016    1.40585   19.20343    9.27427   -0.87662 
4001530  4000206            0.03338    0.35380    0.02956    1.41602   38.73785   16.17375   -1.04700 
4001531  4000206            0.03228    0.33535    0.05085    1.50068   46.24876   33.48942   -1.22847 
4001532  4000206            0.03005    0.33161    0.04762    1.41348   37.09201   28.09367   -1.37504 
