    1   126433.DLY       2.25      36.75
    2   126434.DLY       2.25      37.25
    3   126435.DLY       2.25      37.75
    4   126436.DLY       2.25      38.25
    5   127153.DLY       1.75      36.75
    6   129313.DLY       0.25      36.75
    7   129316.DLY       0.25      38.25
