sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
4002297	4000313	36	53	51.59999847	29.89999962	18.5	1.450000048	0.119999997	0.217500001	0.114550002
4002298	4000313	53	71	65.5	18.79999924	15.69999981	1.450000048	0.059999999	0.189950019	0.097149998
4002299	4000313	71	86	61.79999924	22.5	15.69999981	1.450000048	0.039999999	0.179800004	0.100050002
4002300	4000313	86	107	85.80000305	6.300000191	7.900000095	1.450000048	-9.9	0.126149997	0.075400002
4002303	4000314	0	8	95.19999695	3.599999905	1.200000048	1.450000048	0.810000002	0.104400001	0.021750001
4002304	4000314	8	36	94.09999847	3.900000095	2	1.450000048	0.340000004	0.108750001	0.018850001
4002305	4000314	36	63	92.69999695	4.5	2.799999952	1.450000048	0.079999998	0.055100001	0.021750001
4002306	4000314	63	91	90.90000153	4.699999809	4.400000095	1.450000048	0.079999998	0.059450001	0.0261
4002307	4000314	91	122	97.09999847	1.399999976	1.5	1.450000048	0.02	0.034800004	0.01015
4002308	4000315	0	28	93.90000153	2.900000095	3.200000048	1.450000048	0.5	0.169650003	0.030449999
4002309	4000315	28	38	92.90000153	3.5	3.599999905	1.450000048	0.109999999	0.072500005	0.030449999
4002310	4000315	38	46	93.19999695	2.900000095	3.900000095	1.450000048	0.109999999	0.066700004	0.027550001
4002311	4000315	46	74	92.5	2.099999905	5.400000095	1.450000048	0.100000001	0.078300007	0.034800004
4002312	4000315	74	84	95.09999847	0.899999976	4	1.450000048	0.050000001	0.056550004	0.024650002
4002313	4000315	84	127	9.600000381	0.5	2.599999905	1.450000048	0.029999999	0.050750002	0.020300001
4002314	4000316	0	18	92.90000153	4.300000191	2.799999952	1.450000048	0.310000002	0.111649998	0.023200002
4002315	4000316	18	30	91.19999695	5.400000095	3.400000095	1.450000048	0.129999995	0.087000005	0.0261
4002316	4000316	30	61	94.19999695	2.799999952	3	1.450000048	0.079999998	0.078300007	0.024650002
4002317	4000316	61	94	94.19999695	2.200000048	3.599999905	1.450000048	0.059999999	0.085550003	0.027550001
4002318	4000316	94	112	94	3.200000048	2.799999952	1.450000048	0.039999999	0.047850002	0.024650002
4002319	4000316	112	135	88.40000153	5.900000095	5.699999809	1.450000048	0.039999999	0.071050003	0.030449999
4002320	4000316	135	178	95.5	2.200000048	2.299999952	1.450000048	0.02	0.066700004	0.0174
4002327	4000318	0	25	69.90000153	19.5	10.60000038	1.450000048	0.949999988	0.153700009	0.066700004
4002328	4000318	25	41	73.69999695	16.39999962	9.899999619	1.450000048	0.219999999	0.127600014	0.056550004
4002329	4000318	41	56	80.5	10	9.5	1.450000048	0.140000001	0.121799998	0.049300004
4002330	4000318	56	152	91.19999695	3	5.800000191	1.450000048	0.039999999	0.060899999	0.0261
4002331	4000319	0	18	68.19999695	17.89999962	13.89999962	1.450000048	1.529999971	0.353799999	0.107300006
4002332	4000319	18	46	71.19999695	16.20000076	12.60000038	1.450000048	0.550000012	0.263900012	0.098600008
4002333	4000319	46	69	71.09999847	10.30000019	18.60000038	1.450000048	0.140000001	0.271150023	0.153700009
4002334	4000319	69	84	76.90000153	8.5	14.60000038	1.450000048	0.100000001	0.229100004	0.145000011
4002335	4000319	84	122	82.69999695	5.900000095	11.39999962	1.450000048	0.07	0.224750012	0.130500004
4002343	4000320	3	8	80	10.10000038	9.899999619	1.450000048	1.200000048	0.278400034	0.107300006
4002344	4000320	8	20	76.80000305	10.39999962	12.80000019	1.450000048	0.779999971	0.292900026	0.104400001
4002345	4000320	20	43	69.30000305	8.699999809	22	1.450000048	0.409999996	0.33495003	0.200100005
4002346	4000320	43	63	62.20000076	9.199999809	28.60000038	1.450000048	0.280000001	0.388599992	0.237800002
4002347	4000320	63	122	69	8.300000191	22.70000076	1.450000048	0.189999998	0.332049996	0.205899999
4002349	4000321	0	4	70.80000305	24.70000076	4.5	1.450000048	1.889999986	0.366849989	0.050750002
4002350	4000321	4	28	64.19999695	27	8.800000191	1.450000048	0.720000029	0.23635	0.069600008
4002351	4000321	28	41	60.79999924	26.89999962	12.30000019	1.450000048	0.319999993	0.194299996	0.071050003
4002352	4000321	41	76	58.5	23.20000076	18.29999924	1.450000048	0.270000011	0.140650004	0.058000002
4002354	4000321	76	0	66	6.800000191	27.39999962	1.450000048	0.119999997	0.160950005	0.12470001
4002361	4000322	0	11	62.70000076	29.39999962	7.900000095	1.450000048	3.799999952	0.461100012	0.176899999
4002362	4000322	11	30	68.09999847	25.79999924	6.099999905	1.450000048	0.980000019	0.221850008	0.062350005
4002363	4000322	30	51	65.30000305	26.70000076	8	1.450000048	0.170000002	0.218950018	0.062350005
4002364	4000322	51	76	54.59999847	28.5	16.89999962	1.450000048	0.170000002	0.271150023	0.114550002
4002365	4000322	76	91	71.09999847	15.80000019	13.10000038	1.450000048	0.059999999	0.217500001	0.089900002
4002367	4000322	97	107	84.5	8.100000381	7.400000095	1.450000048	0.039999999	0.143549994	0.049300004
4002368	4000322	107	160	74.30000305	13.69999981	12	1.450000048	0.039999999	0.208800003	0.075400002
4002369	4000323	0	13	26.89999962	62.40000153	10.69999981	1.450000048	6.699999809	0.697449982	0.079750001
4002370	4000323	13	33	18.89999962	69.30000305	11.80000019	1.450000048	0.620000005	0.342200011	0.08845
4002371	4000323	33	53	15.89999962	62.79999924	21.29999924	1.450000048	0.310000002	0.332049996	0.133400008
4002372	4000323	53	79	38.29999924	46.59999847	15.10000038	1.450000048	0.100000001	0.284200013	0.12470001
4002373	4000323	79	160	58.5	26.70000076	14.80000019	1.450000048	0.059999999	0.145000011	0.062350005
4002381	4000324	1	3	71.5	25	3.5	1.450000048	3.539999962	0.284200013	0.040600002
