doi,lat,lng,HWSD_soil,slate_weather,topsoil_texture,landcover,growing_degree_days,soil_depth,old_elevation,new_elevation,africa_sis_sca,africa_sis_twi,slope,precipitation,aridity_index,country,state,biome,aspect,worldkgeiger,fao_lgp,cereals_suitability_low_input,cereals_suitability_hight_input,kenya_slope (%),kenya_slope_reclassified,kenya_aspect,kenya_plane_curvature,kenya_profile_curvature,kenya_dem,kenya_curvature,namibia_slope (%),namibia_slope_reclassofied,namibia_plane_curvature,namibia_profile_curvature,namibia_dem,namibia_curvature
23,0.25,37.25,17375,129314,10,31,4357,21,2012,2013,65.0,12.0,0,777,4787,209,Hawaii,rock and ice,84,3,10,1,2,7.82989931107,3.0,91.974937439,0.0305525194854,-0.0276967193931,2013,0.0582492388785,-1,-1,-1,-1,-1,-1
24,0.25,37.75,17442,129315,1,32,5516,21,1315,1304,6492.0,17.0,1,1262,6374,209,Hawaii,rock and ice,325,3,9,5,4,4.12769937515,2.0,348.690063477,0.00959399249405,0.00959399249405,1304,-0.0,-1,-1,-1,-1,-1,-1
25,0.25,38.25,17401,129316,11,31,7287,40,616,614,92.0,13.0,0,517,2525,209,Hawaii,rock and ice,117,3,7,1,2,1.5383027792,1.0,105.255119324,-0.00757240131497,-0.00757240131497,614,-0.0,-1,-1,-1,-1,-1,-1
78,0.338959387,36.88351382,17377,129313,3,58,4341,40,1759,1764,93.0,13.0,2,665,3818,209,Hawaii,rock and ice,45,3,9,6,3,2.30548119545,2.0,69.4439544678,0.017817415297,-0.0171321295202,1764,0.0349495448172,-1,-1,-1,-1,-1,-1
79,0.336637222,36.88532548,17377,129313,3,58,4341,40,1759,1758,65.0,12.0,2,665,3818,209,Hawaii,rock and ice,120,3,9,6,3,6.34258460999,3.0,119.291358948,0.0450575016439,-0.0714409798384,1758,0.116498477757,-1,-1,-1,-1,-1,-1
80,0.334001281,36.87965839,17377,129313,3,58,4341,40,1767,1779,93.0,13.0,0,659,3705,209,Hawaii,rock and ice,60,3,9,6,3,2.41348791122,2.0,63.4349479675,0.0232996959239,-0.0232996959239,1777,0.0465993918478,-1,-1,-1,-1,-1,-1
81,0.336029786,36.88263665,17377,129313,3,58,4341,40,1767,1765,131.0,13.0,0,659,3705,209,Hawaii,rock and ice,114,3,9,6,3,4.46658325195,2.0,115.016891479,0.00743179954588,-0.015867896378,1765,0.0232996959239,-1,-1,-1,-1,-1,-1
82,0.3382613,36.88141147,17377,129313,3,58,4341,40,1767,1767,276.0,14.0,0,659,3705,209,Hawaii,rock and ice,5,3,9,6,3,2.65071964264,2.0,14.7435626984,0.0150103811175,-0.00828931480646,1767,0.0232996959239,-1,-1,-1,-1,-1,-1
83,0.333081954,36.87607555,17377,129313,3,59,4341,40,1786,1786,65.0,13.0,1,650,3694,209,Hawaii,rock and ice,0,3,9,6,2,1.7065936327,1.0,18.4349479675,0.011649847962,-0.011649847962,1786,0.0232996959239,-1,-1,-1,-1,-1,-1
84,0.331780748,36.8784079,17377,129313,3,59,4341,40,1786,1784,65.0,13.0,1,650,3694,209,Hawaii,rock and ice,74,3,9,6,2,2.30548119545,2.0,69.4439544678,-0.0109645631164,0.000685285194777,1784,-0.011649847962,-1,-1,-1,-1,-1,-1
85,0.335265398,36.87743794,17377,129313,3,59,4341,40,1767,1778,645.0,15.0,0,659,3705,209,Hawaii,rock and ice,345,3,9,6,3,2.56699156761,2.0,356.987213135,0.00828931480646,-0.0150103811175,1781,0.0232996959239,-1,-1,-1,-1,-1,-1
86,0.328865689,36.88043782,17377,129313,3,58,4341,40,1786,1782,2690.0,15.0,1,650,3694,209,Hawaii,rock and ice,83,3,9,6,2,4.65809440613,2.0,79.9920196533,-0.0113657051697,-0.0113657051697,1777,-0.0,-1,-1,-1,-1,-1,-1
87,0.333323437,36.87336635,17377,129313,3,59,4341,40,1792,1784,276.0,14.0,1,646,3661,209,Hawaii,rock and ice,3,3,9,6,2,2.69836163521,2.0,0.0,-0.0,0.011649847962,1784,-0.011649847962,-1,-1,-1,-1,-1,-1
